Tank,Treat1,Treat2,Treat3,At,Ch,Fe,AC,AF,CF,ACF,A2,C2,F2,Block,Logger,Temp0,Temp1,Temp2,Temp4,Light0,Light1,Light2,Light4,Ph.F0.0,Ph.F0.1,Ph.QY.1,Ph.QY.1,Ph.F0.2,Ph.QY.2,Ph.F0.4,Ph.QY.4,Ph.F0.8,Ph.QY.8,Pe.F0.0,Pe.QY.0,Pe.F0.1,Pe.QY.1,Pe.F0.2,Pe.QY.2,Pe.F0.4,Pe.QY.4,Pe.F0.8,Pe.QY.8,TBgegg1,TBghatch1,TBgadult1,TBtegg1,TBthatch1,TBtadult1,TPhyegg1,TPhyhatch1,TPhyadult1,TBgegg2,TBghatch2,TBgadult2,TBtegg2,TBthatch2,TBtadult2,TPhyegg2,TPhyhatch2,TPhyadult2,TBgegg3,TBghatch3,TBgadult3,TBtegg3,TBthatch3,TBtadult3,TPhyegg3,TPhyhatch3,TPhyadult3,TBgegg4,TBghatch4,TBgadult4,TBtegg4,TBthatch4,TBtadult4,TPhyegg4,TPhyhatch4,TPhyadult4,TBgegg8,TBghatch8,TBgadult8,TBtegg8,TBthatch8,TBtadult8,TPhyegg8,TPhyhatch8,TPhyadult8,TBgE,TBgE,TBgH,TBgRepro,TBtE,TBtH,TBtRepro,TPhyE,TPhyH,TPhyRepro,TSnE,TSnH,TSnRepro,BgLive,BgInf,T.Bg,BtLive,BtInf,T.Bt,PhyLive,T.Phy,T.Snails,Snails.Live,P.all.24,P.all.24.surv,B.flu.24,B.flu.24.surv,P.all.end.surv,P.all.end,B.flu.end.surv,B.flu.end,Pred,PredSurv,Phyto,PerF0,PerQY,Snails,Algae
32,C + A,C + A,C + A,1,1,0,1,0,0,0,1,1,0,3,6,32.39432258,30.40021875,31.6,31.90281081,694,830,1159.1,1365.621622,56,56,0,-4.003022834,100,0,38,0,715,0.3638,7508,0.3251,4858,0.2918,4316,0.1551,1458,0.4533,7696,0.4957,7,0,1,2,0,1,2,0,0,6,0,0,5,1,0,7,0,1,7,0,0,6,0,0,5,2,0,4,0,0,2,6,0,2,6,0,0,0,0,0,1,0,0,0,0,24,3.218875825,0,24,15,8,23,16,8,24,55,16,71,43,0,46,188,1,189,310,363,598,541,2,1,1,6,0,3,0,7,1.045232148,-1.045232148,0.000600481,-0.330809289,0.123057351,0.166103183,0.12756515
33,F 1x,F 1x,Fertilizer,0,0,1,0,0,0,0,0,0,1,3,7,32.6143871,30.07584375,31.4,30.95283784,1270,683,1354.3,918.7027027,54,41,0,-4.003022834,68,0,60,0,114,0.2822,9404,0.4588,8605,0.2757,10509,0.036,12253,0.3527,5270,0.3645,3,0,1,5,0,0,2,0,0,0,0,0,4,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.386294361,0,3,11,0,11,6,0,6,20,0,20,0,0,2,0,0,0,0,1,3,0,0,3,0,7,2,1,0,7,0.013696115,-0.013696115,0.034098894,0.370160742,-0.079730295,0.014453358,0.112833279
34,A + F,A + F,A + F,1,0,1,0,1,0,0,1,0,1,3,8,33.1013871,30.0474375,31.5,31.21059459,2027,618,1611.4,773.8378378,44,57,0,-4.003022834,127,0.1458,81,0,213,0.5553,5783,0.4387,10780,0.2025,8730,0.099,13399,0.3437,1152,0.4352,4,0,0,3,1,0,6,0,0,2,0,0,3,0,0,1,0,0,1,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2.302585093,0,9,8,1,9,7,0,7,24,1,25,0,0,18,0,0,0,0,3,21,0,0,3,0,7,2,1,0,7,0.013696115,-0.013696115,0.221497411,0.602295752,0.034143839,6.45E-05,0.205002127
35,A 1x,A 1x,Atrazine,1,0,0,0,0,0,0,1,0,0,3,9,32.64703226,29.92184375,31,31.03213514,2027,449,987.4,831.3513514,52,56,0,-4.003022834,63,0,70,0,556,0.0296,10671,0.3614,6933,0.3496,9678,0.1216,4731,0.3072,2986,0.3721,0,0,0,8,0,0,1,0,0,0,0,0,7,0,0,1,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,18,0,18,6,0,6,24,0,24,3,1,9,0,0,0,0,2,11,3,0,3,0,7,2,1,0,7,0.013696115,-0.013696115,-0.087175211,-0.16056731,0.088575197,0.00527488,0.148553041
36,C 2x,C 2x,Chlorpyrifos,0,1,0,0,0,0,0,0,2,0,3,10,32.69364516,30.4601875,31.7,31.67075676,1809,935,1649.1,1959.783784,39,93,0,-4.003022834,67,0,47,0,137,0.3851,6202,0.314,5018,0.1836,7284,0.0969,5445,0.373,2234,0.127,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,7,0,0,1,0,0,4,0,0,1,2,0,0,2,0,1,0,0,1,14,0,0,8,0,7,2.079441542,0,7,13,16,29,1,10,11,21,26,47,12,2,290,8,0,79,40,619,988,60,1,2,0,7,2,1,1,6,1.149803648,-1.149803648,-0.036349082,0.052856385,-0.048791076,0.139612372,-0.05860409
38,W,Control,Control,0,0,0,0,0,0,0,0,0,0,3,12,32.76729032,30.19540625,31.4,31.53948649,1965,843,1914.3,1290.810811,26,51,0,-4.003022834,58,0,58,0,68,0,6723,0.3975,5142,0.3074,3543,0.1743,1047,0.3272,1862,0.2002,1,0,0,10,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.693147181,0,1,20,0,20,1,2,3,22,2,24,9,0,14,0,0,0,0,2,16,9,0,3,0,7,3,0,0,7,0.035766259,-0.035766259,-0.095310228,-0.097735129,-0.01353932,0.006184376,0.010901882
39,A + C + F,A + C + F,A + C + F,1,1,1,1,1,1,1,1,1,1,3,13,33.13154839,30.9443125,31.9,31.75097297,1127,951,1523.2,1456.864865,48,139,0.4398,-0.233214829,108,0,95,0,1717,0.2551,9493,0.3646,15034,0.3205,2260,0.2242,16191,0.4944,1377,0.3101,0,0,1,1,0,0,1,0,0,7,0,0,8,0,0,2,5,0,3,0,0,5,16,0,4,24,0,1,0,0,5,22,0,4,11,0,2,0,0,1,7,1,0,6,2,13,2.63905733,0,13,20,45,65,11,46,57,44,91,135,14,0,75,241,0,363,12,1050,1488,267,3,0,0,7,0,3,2,5,1.054141166,-1.054141166,0.123447041,0.555655933,0.076393001,0.18085542,0.219362342
40,F + C,F + C,F + C,0,1,1,0,0,1,0,0,1,1,4,1,33.88955172,30.5015,29.3,31.69962857,1085,574,608,1356.8,13,98,0,-4.003022834,127,0,72,0,623,0.5022,13409,0.4313,9292,0.3575,2413,0.2439,5102,0.3752,17517,0.3674,1,0,1,15,0,0,6,0,0,4,0,0,11,0,0,21,11,2,5,1,0,13,0,0,22,46,2,1,6,0,26,11,0,1,148,0,0,10,2,0,0,0,0,57,0,11,2.48490665,17,28,65,11,76,50,262,312,126,290,416,234,2,318,115,0,708,719,1545,2571,1068,2,1,1,6,0,3,0,7,1.045232148,-1.045232148,0.175741416,0.220414233,-0.036176452,0.193035747,0.123282781
41,C 1x,C 1x,Chlorpyrifos,0,1,0,0,0,0,0,0,1,0,4,2,33.10793548,30.64359375,31.2,31.67311429,2098,862,416.6,1246.171429,49,77,0,-4.003022834,77,0,93,0,156,0.5635,6891,0.4205,4980,0.3757,5426,0.166,3230,0.4845,3436,0.3465,5,0,0,0,0,2,2,0,0,11,0,0,4,0,0,5,0,1,7,1,0,0,5,1,7,8,2,8,1,0,0,10,0,4,1,0,0,0,0,0,12,0,0,5,0,31,3.465735903,2,33,4,27,31,18,14,32,53,43,96,441,0,443,62,0,216,174,685,1344,677,2,1,1,6,0,3,0,7,1.045232148,-1.045232148,-0.007318526,-0.043638956,0.031714928,0.182657033,0.017615653
43,A + F,A + F,A + F,1,0,1,0,1,0,0,1,0,1,4,4,33.42012903,30.9821875,31.7,31.68088571,1984,923,1793.7,919.7714286,136,36,0,-4.003022834,114,0.1543,21,0,124,0.6047,6722,0.4078,14247,0.3044,12721,0,16350,0.5075,1999,0.3663,7,0,0,4,0,0,5,0,0,7,0,0,1,0,0,3,0,0,0,0,0,2,0,0,4,0,0,0,0,0,3,0,0,4,1,0,0,0,0,0,0,0,0,0,0,14,2.708050201,0,14,10,0,10,16,1,17,40,1,41,0,0,4,0,0,0,2,4,8,2,0,3,0,7,1,2,0,7,0.000785909,-0.000785909,0.185437221,0.682348569,0.029908033,0.016401165,0.233929713
44,A 1x,A 1x,Atrazine,1,0,0,0,0,0,0,1,0,0,4,5,33.20551613,30.9598125,32.4,31.61842857,1947,802,1835.2,739.8857143,52,86,0,-4.003022834,91,0,33,0,77,0,7091,0.5787,2445,0.3606,5239,0.1594,8762,0.3651,14597,0.4777,2,0,0,4,0,0,6,0,0,4,0,0,1,0,0,11,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1.945910149,0,6,8,0,8,20,0,20,34,0,34,0,0,1,0,0,0,0,0,1,0,0,3,0,7,3,0,0,7,0.035766259,-0.035766259,-0.028124974,-0.29622888,0.111706503,-0.004277171,0.131639101
45,A + C + F,A + C + F,A + C + F,1,1,1,1,1,1,1,1,1,1,4,6,33.21912903,30.62121875,31.5,31.5516,1035,736,1730.6,744.4571429,41,61,0,-4.003022834,77,0,77,0,109,0,7562,0.2925,16789,0.3434,11436,0.0438,5634,0.4846,2733,0.3463,2,0,0,1,0,0,3,0,1,11,0,2,3,0,0,3,1,1,11,0,0,5,18,0,3,16,0,6,0,0,3,16,0,1,5,0,2,0,0,0,4,4,0,4,1,32,3.496507561,0,32,12,38,50,10,26,36,54,64,118,14,0,75,234,0,266,341,839,1180,589,3,0,1,6,0,3,0,7,1.020520424,-1.020520424,0.024175592,0.648710504,0.048959005,0.213107827,0.276472101
46,F 1x,F 1x,Fertilizer,0,0,1,0,0,0,0,0,0,1,4,7,33.73996774,30.6276875,32.2,31.5278,1604,683,2349.3,1137.371429,58,117,0.3257,-0.699372318,132,0.041,73,0,116,0.4978,5388,0.4375,13309,0.3372,8644,0.0552,14666,0.2267,15673,0.375,23,0,0,3,0,0,6,0,0,3,5,0,10,1,0,6,2,0,0,0,0,12,0,0,4,0,0,0,0,0,7,0,0,5,0,0,0,0,0,0,0,0,0,0,0,26,3.295836866,5,31,32,1,33,21,2,23,79,8,87,0,0,3,0,0,0,0,0,3,0,0,3,0,7,2,1,0,7,0.013696115,-0.013696115,0.232814528,0.400403459,-0.094636682,0.005102352,0.096275331
47,C 2x,C 2x,Chlorpyrifos,0,1,0,0,0,0,0,0,2,0,4,8,33.37980645,30.994625,32.6,32.54448571,1342,706,2502.2,1443.2,53,108,0.3648,-0.533722664,121,0.0941,40,0,247,0.5265,7220,0.3003,8829,0.2896,9601,0.1029,2554,0.3673,5449,0.394,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,5,1,0,4,6,0,0,0,0,7,0,0,3,5,0,2,0,0,1,8,1,0,12,1,9,2.302585093,0,9,14,9,23,7,23,30,30,32,62,19,1,28,169,0,176,431,539,743,619,2,1,1,6,0,3,0,7,1.045232148,-1.045232148,0.149554127,0.035664346,-0.003981648,0.163139253,-0.016944736
48,F 2x,F 2x,Fertilizer,0,0,1,0,0,0,0,0,0,2,4,9,33.24883871,30.51425,31.6,31.27777143,1573,614,2059.6,662.6285714,57,119,0.2452,-1.075605139,177,0.2137,119,0.1176,89,0.3663,5040,0.4875,1999,0.3348,4000,0.1158,9282,0.2923,5056,0.2311,1,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,6,0,1,0,0,0,0,0,1,0,0,0,0,0,12,1,0,7,11,0,0,0,0,0,0,0,0,0,0,5,1.791759469,0,5,13,1,14,8,17,25,26,18,44,1,0,11,0,0,4,0,26,41,1,0,3,0,7,2,1,0,7,0.013696115,-0.013696115,0.356265661,0.169943942,-0.074456875,0.014909427,0.113640847
49,S,Control,Control,0,0,0,0,0,0,0,0,0,0,4,10,34.28316129,31.236125,32.4,31.55257143,2535,1083,3330.7,596.1142857,33,51,0,-4.003022834,56,0,74,0,103,0,7821,0.3761,8603,0.3479,11456,0.1484,6725,0.3444,5643,0.2393,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,2,0,2,0,0,9,0,0,0,3,7,16,3,2,1,0,7,2,1,0,7,-0.08067405,0.08067405,-0.090774563,0.122242014,-0.014641528,0.028674571,0.050725564
50,W,Control,Control,0,0,0,0,0,0,0,0,0,0,4,11,33.76603226,31.28140625,32.1,31.16417143,2009,999,1402.7,602.9714286,73,48,0,-4.003022834,65,0,78,0,105,0.5254,11290,0.3288,7308,0.3978,9368,0.0788,1990,0.3806,4114,0.3936,1,0,0,2,0,0,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1.098612289,0,2,3,0,3,2,1,3,7,1,8,0,0,12,0,0,0,1,6,18,1,0,3,0,7,2,1,0,7,0.013696115,-0.013696115,-0.049175812,0.006091929,0.007332795,0.00679896,0.011990135
51,A 2x,A 2x,Atrazine,1,0,0,0,0,0,0,2,0,0,4,12,32.63677419,31.1076875,31.9,31.75374286,1542,942,745.3,1013.028571,108,66,0,-4.003022834,82,0,70,0,113,0.52,10470,0.3526,21795,0.4956,1123,0.2073,6205,0.5175,1464,0.3163,5,0,0,6,0,0,14,0,0,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,0,1,0,0,0,0,0,0,5,1.791759469,0,5,12,0,12,22,2,24,39,2,41,3,0,12,0,0,0,0,12,24,3,1,2,0,7,2,1,0,7,-0.04584483,0.04584483,-0.031043307,-0.210037901,0.14680196,0.008182146,0.153700976
52,C + A,C + A,C + A,1,1,0,1,0,0,0,1,1,0,4,13,33.50106452,31.4536875,32.5,31.961,1374,981,1570.7,755.6571429,50,56,0,-4.003022834,76,0,52,0,78,0,8120,0.5505,7683,0.3348,967,0.2793,14057,0.186,5647,0.5252,1,0,0,0,0,0,1,0,0,5,0,1,5,0,0,3,3,0,16,4,0,4,0,1,4,25,0,17,7,0,7,5,0,19,10,0,4,1,0,2,4,1,0,25,2,43,3.784189634,12,55,18,9,27,27,63,90,88,84,172,239,12,265,43,1,44,679,1230,1539,961,3,0,1,6,0,3,0,7,1.020520424,-1.020520424,-0.069059517,-0.324560085,0.093732809,0.186341174,0.163400825
53,A 1x,A 1x,Atrazine,1,0,0,0,0,0,0,1,0,0,5,1,32.99764516,31.72435294,32.4,31.51359459,981,1009,747.4,372.2702703,90,34,0,-4.003022834,109,0,52,0,61,0,6324,0.3267,1522,0.4758,2630,0.3554,11089,0.522,3646,0.2953,0,0,2,3,0,0,2,0,0,3,0,0,5,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1.791759469,0,5,8,0,8,3,0,3,16,0,16,0,0,7,0,0,0,0,1,8,0,0,3,0,7,2,1,1,6,0.001524245,-0.001524245,-0.019996382,-0.352025528,0.155322555,-0.005782497,0.1289736
54,A 2x,A 2x,Atrazine,1,0,0,0,0,0,0,2,0,0,5,2,33.13145161,31.91085294,32.5,32.53637838,844,928,1682.6,921.9459459,40,71,0,-4.003022834,63,0,59,0,60,0,9994,0.3366,4440,0.2876,3929,0.1471,1466,0.3199,13349,0.4181,0,0,1,1,0,0,0,0,0,1,0,16,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1.098612289,0,2,6,0,6,1,1,2,9,1,10,16,0,22,0,0,1,0,35,58,16,0,3,0,7,0,3,0,7,-0.008374028,0.008374028,-0.087033116,-0.334354284,0.089910252,0.011243462,0.159121688
55,C 2x,C 2x,Chlorpyrifos,0,1,0,0,0,0,0,0,2,0,5,3,32.72390323,31.24141176,32.5,31.80062162,575,639,1933.4,507.8918919,61,99,0,-4.003022834,91,0.3333,163,0.5604,369,0.5476,9458,0.3457,8494,0.3065,8999,0.1512,1638,0.4387,12053,0.4096,3,0,0,0,0,0,1,0,0,3,1,21,0,0,0,0,0,0,0,4,0,0,0,0,2,10,0,5,10,0,2,21,0,2,13,0,0,7,0,0,3,0,0,5,0,11,2.48490665,22,33,2,24,26,5,28,33,18,74,92,669,21,747,198,0,216,711,770,1733,1578,2,1,1,6,0,3,1,6,1.033060278,-1.033060278,0.205813147,0.007651039,0.015261932,0.194873773,0.039247993
56,W,Control,Control,0,0,0,0,0,0,0,0,0,0,5,4,32.62432258,31.14952941,32.2,31.44516216,690,734,1354.3,474.1621622,27,66,0,-4.003022834,96,0,72,0,96,0,12472,0.4968,2085,0.2508,3709,0.1169,8130,0.2759,1348,0.1478,1,0,0,13,0,0,2,0,0,0,0,0,12,0,0,5,0,0,0,0,0,11,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.693147181,0,1,36,0,36,13,0,13,50,0,50,0,0,0,0,0,0,1,2,2,1,0,3,0,7,2,1,0,7,0.013696115,-0.013696115,-0.004364375,-0.075970082,-0.043783642,0.007502652,0.013236171
57,F 2x,F 2x,Fertilizer,0,0,1,0,0,0,0,0,0,2,5,5,33.60216129,31.03497059,33,32.24475676,1959,509,2015,904.2162162,41,230,0.5192,0.074079366,148,0.2143,83,0,713,0.4718,7667,0.4174,16799,0.2752,8149,0.1551,29402,0.2755,3727,0.2304,0,0,0,5,0,0,9,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,10,0,10,14,0,14,24,1,25,0,0,0,0,0,0,0,0,0,0,0,3,0,7,1,2,0,7,0.000785909,-0.000785909,0.33216282,0.475651754,-0.086915485,-0.006141629,0.076365466
58,C 1x,C 1x,Chlorpyrifos,0,1,0,0,0,0,0,0,1,0,5,6,32.88419355,31.30417647,32.4,31.79789189,1117,832,1840,145.4864865,29,151,0.5296,0.114277694,103,0,63,0,78,0,4536,0.4445,8002,0.2794,7214,0.0961,4488,0.4712,1817,0.1205,3,0,1,11,0,0,17,0,0,2,0,0,18,0,0,19,0,0,6,0,1,6,3,1,15,7,1,4,0,0,3,19,0,5,6,0,0,0,0,0,12,2,0,9,0,15,2.772588722,0,15,38,34,72,56,22,78,109,56,165,99,1,119,258,0,267,499,522,908,856,2,1,1,6,0,3,0,7,1.045232148,-1.045232148,0.029138506,0.091198465,-0.021092366,0.213605969,0.072417338
59,A + F,A + F,A + F,1,0,1,0,1,0,0,1,0,1,5,7,33.63554839,31.69832353,32,31.61410811,847,1293,983.7,560.8648649,45,72,0,-4.003022834,103,0,57,0,129,0.5839,11900,0.3116,18045,0.2703,5672,0.1795,7708,0.3563,4539,0.2505,2,0,0,3,0,0,6,0,1,2,0,0,14,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,1.609437912,0,4,18,0,18,10,0,10,32,0,32,12,2,17,0,0,0,1,1,18,13,0,3,0,7,1,2,0,7,0.000785909,-0.000785909,0.101329754,0.629506812,0.030117871,0.019026946,0.238579218
60,C + A,C + A,C + A,1,1,0,1,0,0,0,1,1,0,5,8,33.03435484,30.90185294,32.5,32.18356757,1357,497,2328.8,1095.351351,33,41,0,-4.003022834,67,0,83,0,369,0.5086,7275,0.476,4172,0.5731,1901,0.1608,6879,0.4151,3831,0.3124,6,0,1,8,0,0,3,0,1,7,0,0,16,0,0,7,0,1,7,0,0,8,9,0,2,18,0,5,2,0,0,35,0,0,13,0,7,1,0,0,5,0,0,6,0,32,3.496507561,3,35,32,49,81,12,37,49,76,89,165,35,0,48,497,1,516,600,651,1215,1132,1,2,1,6,0,3,0,7,1.080061369,-1.080061369,-0.063777093,-0.312487153,0.131955686,0.221074551,0.22490367
61,F + C,F + C,F + C,0,1,1,0,0,1,0,0,1,1,5,9,32.45729032,30.89952941,31.8,31.79086486,797,955,234.6,979.8918919,41,104,0,-4.003022834,111,0.2961,38,0,296,0.5514,3754,0.5489,14297,0.3479,5844,0.1361,7658,0.4378,13519,0.2486,18,0,1,4,0,1,2,0,0,14,0,0,10,0,0,13,0,0,42,0,1,6,1,1,14,3,0,23,0,0,7,2,0,16,3,0,0,31,0,1,19,3,0,8,0,97,4.584967479,31,128,28,22,50,45,14,59,170,67,237,138,0,147,533,0,552,625,711,1410,1296,2,1,1,6,0,3,0,7,1.045232148,-1.045232148,0.279899508,0.375445878,-0.053629776,0.209680451,0.152755774
62,A + C + F,A + C + F,A + C + F,1,1,1,1,1,1,1,1,1,1,5,10,33.36641935,31.92005882,32.8,31.71518919,1177,1010,3051.4,767.3513514,102,42,0,-4.003022834,85,0,60,0,129,0.5684,13878,0.4203,7724,0.2914,6282,0.1996,9468,0.5911,10014,0.3481,13,0,0,1,0,0,4,0,0,28,0,0,5,0,0,12,0,1,26,0,0,7,0,0,9,2,0,18,0,0,7,1,0,8,4,0,7,0,0,14,8,1,11,6,2,92,4.532599493,0,92,34,9,43,44,12,56,170,21,191,20,0,22,60,0,60,462,470,552,542,3,0,1,6,0,3,0,7,1.020520424,-1.020520424,0.061627173,0.554071005,0.081274562,0.181722117,0.220897014
63,S,Control,Control,0,0,0,0,0,0,0,0,0,0,5,11,32.70393548,31.51285294,32.4,30.83210811,1072,1149,1719.7,388.5405405,17,14,0,-4.003022834,81,0,87,0,64,0,2373,0.4733,795,0.3566,4571,0.4094,3388,0.4332,1052,0.2669,2,0,0,21,0,1,14,0,1,0,0,0,19,0,0,10,0,0,2,0,0,8,0,0,5,1,0,2,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,1.945910149,0,6,52,0,52,31,1,32,89,1,90,13,0,23,0,0,5,31,52,80,44,0,3,0,7,3,0,1,6,0.023594388,-0.023594388,-0.068582598,-0.210397045,0.042379147,0.026778648,0.047368429
64,F 1x,F 1x,Fertilizer,0,0,1,0,0,0,0,0,0,1,5,12,33.00109677,31.13785294,32.3,31.59621622,1134,990,1688.8,1133.405405,71,67,0,-4.003022834,122,0.3846,955,0.4877,193,0.5372,2230,0.5046,10977,0.3115,10527,0.0636,934,0.4079,9959,0.3051,0,0,1,2,0,0,3,0,0,1,0,0,3,0,0,0,5,0,1,0,0,7,0,0,7,10,0,4,1,0,11,0,0,15,8,0,8,0,0,13,0,0,9,1,0,14,2.708050201,1,15,36,0,36,34,24,58,84,25,109,0,0,25,0,0,0,0,54,79,0,0,3,0,7,2,1,2,5,-0.012527149,0.012527149,0.356457717,0.294844689,-0.064389433,-0.000414469,0.086506624
