Treatment,Dose,Time,Death,Replicate
Chlor,0.64,0,0,1
Chlor,0.64,0,0,1
Chlor,0.64,0,0,1
Chlor,0.64,0,0,1
Chlor,0.64,120,1,1
Chlor,3.2,0,0,1
Chlor,3.2,0,0,1
Chlor,3.2,0,0,1
Chlor,3.2,0,0,1
Chlor,3.2,120,1,1
Chlor,6.4,0,0,1
Chlor,6.4,0,0,1
Chlor,6.4,0,0,1
Chlor,6.4,96,1,1
Chlor,6.4,144,1,1
Chlor,32,72,1,1
Chlor,32,72,1,1
Chlor,32,96,1,1
Chlor,32,96,1,1
Chlor,32,120,1,1
Chlor,64,72,1,1
Chlor,64,72,1,1
Chlor,64,72,1,1
Chlor,64,72,1,1
Chlor,64,72,1,1
Cont_Ace,12000,0,0,1
Cont_Ace,12000,0,0,1
Cont_Ace,12000,0,0,1
Cont_Ace,12000,0,0,1
Cont_Ace,12000,0,0,1
Cont_Ace,12000,48,1,1
Cont_Ace,12000,48,1,1
Cont_Ace,12000,48,1,1
Cont_Ace,12000,72,1,1
Cont_Ace,12000,72,1,1
Cont_H20,0,0,0,1
Cont_H20,0,0,0,1
Cont_H20,0,0,0,1
Cont_H20,0,0,0,1
Cont_H20,0,48,1,1
Cont_H20,0,48,1,1
Cont_H20,0,48,1,1
Cont_H20,0,72,1,1
Cont_H20,0,72,1,1
Cont_H20,0,72,1,1
Esfen,0.02,0,0,1
Esfen,0.02,0,0,1
Esfen,0.02,0,0,1
Esfen,0.02,0,0,1
Esfen,0.02,72,1,1
Esfen,0.2,0,0,1
Esfen,0.2,0,0,1
Esfen,0.2,48,1,1
Esfen,0.2,48,1,1
Esfen,0.2,72,1,1
Esfen,1,3,1,1
Esfen,1,3,1,1
Esfen,1,3,1,1
Esfen,1,3,1,1
Esfen,1,48,1,1
Esfen,2,3,1,1
Esfen,2,3,1,1
Esfen,2,3,1,1
Esfen,2,3,1,1
Esfen,2,3,1,1
Esfen,20,3,1,1
Esfen,20,3,1,1
Esfen,20,3,1,1
Esfen,20,3,1,1
Esfen,20,3,1,1
Lamda,0.03,0,0,1
Lamda,0.03,0,0,1
Lamda,0.03,48,1,1
Lamda,0.03,72,1,1
Lamda,0.03,96,1,1
Lamda,0.13,0,0,1
Lamda,0.13,48,1,1
Lamda,0.13,48,1,1
Lamda,0.13,48,1,1
Lamda,0.13,72,1,1
Lamda,0.26,0,0,1
Lamda,0.26,48,1,1
Lamda,0.26,48,1,1
Lamda,0.26,72,1,1
Lamda,0.26,72,1,1
Lamda,1.3,0,0,1
Lamda,1.3,24,1,1
Lamda,1.3,48,1,1
Lamda,1.3,72,1,1
Lamda,1.3,72,1,1
Lamda,5,3,1,1
Lamda,5,48,1,1
Lamda,5,48,1,1
Lamda,5,48,1,1
Lamda,5,72,1,1
Mal,0.01,0,0,1
Mal,0.01,0,0,1
Mal,0.01,72,1,1
Mal,0.01,72,1,1
Mal,0.01,96,1,1
Mal,0.1,0,0,1
Mal,0.1,0,0,1
Mal,0.1,24,1,1
Mal,0.1,48,1,1
Mal,0.1,72,1,1
Mal,1.01,0,0,1
Mal,1.01,0,0,1
Mal,1.01,72,1,1
Mal,1.01,72,1,1
Mal,1.01,96,1,1
Mal,10.1,0,0,1
Mal,10.1,0,0,1
Mal,10.1,72,1,1
Mal,10.1,72,1,1
Mal,10.1,72,1,1
Mal,101,0,0,1
Mal,101,0,0,1
Mal,101,48,1,1
Mal,101,72,1,1
Mal,101,72,1,1
Mal,1010,0,0,1
Mal,1010,48,1,1
Mal,1010,48,1,1
Mal,1010,72,1,1
Mal,1010,144,1,1
Mal,10100,24,1,1
Mal,10100,24,1,1
Mal,10100,48,1,1
Mal,10100,48,1,1
Mal,10100,72,1,1
Mal,101000,3,1,1
Mal,101000,3,1,1
Mal,101000,3,1,1
Mal,101000,3,1,1
Mal,101000,3,1,1
Perm,0.04,24,1,1
Perm,0.04,48,1,1
Perm,0.04,72,1,1
Perm,0.04,72,1,1
Perm,0.04,72,1,1
Perm,0.21,0,0,1
Perm,0.21,12,1,1
Perm,0.21,48,1,1
Perm,0.21,48,1,1
Perm,0.21,72,1,1
Perm,0.41,0,0,1
Perm,0.41,0,0,1
Perm,0.41,0,0,1
Perm,0.41,24,1,1
Perm,0.41,72,1,1
Perm,2.07,0,0,1
Perm,2.07,0,0,1
Perm,2.07,0,0,1
Perm,2.07,48,1,1
Perm,2.07,72,1,1
Perm,4.41,0,0,1
Perm,4.41,0,0,1
Perm,4.41,72,1,1
Perm,4.41,72,1,1
Perm,4.41,72,1,1
Terb,0.09,0,0,1
Terb,0.09,0,0,1
Terb,0.09,0,0,1
Terb,0.09,0,0,1
Terb,0.09,48,1,1
Terb,0.86,0,0,1
Terb,0.86,0,0,1
Terb,0.86,48,1,1
Terb,0.86,48,1,1
Terb,0.86,96,1,1
Terb,8.55,0,0,1
Terb,8.55,0,0,1
Terb,8.55,0,0,1
Terb,8.55,72,1,1
Terb,8.55,72,1,1
Terb,17.1,0,0,1
Terb,17.1,0,0,1
Terb,17.1,0,0,1
Terb,17.1,72,1,1
Terb,17.1,72,1,1
Terb,171,0,0,1
Terb,171,24,1,1
Terb,171,48,1,1
Terb,171,72,1,1
Terb,171,72,1,1
Chlor,0.64,0,0,2
Chlor,0.64,0,0,2
Chlor,0.64,0,0,2
Chlor,0.64,0,0,2
Chlor,0.64,48,1,2
Chlor,3.2,0,0,2
Chlor,3.2,0,0,2
Chlor,3.2,0,0,2
Chlor,3.2,0,0,2
Chlor,3.2,0,0,2
Chlor,6.4,0,0,2
Chlor,6.4,0,0,2
Chlor,6.4,0,0,2
Chlor,6.4,0,0,2
Chlor,6.4,0,0,2
Chlor,32,0,0,2
Chlor,32,24,1,2
Chlor,32,96,1,2
Chlor,32,120,1,2
Chlor,32,168,1,2
Chlor,64,24,1,2
Chlor,64,48,1,2
Chlor,64,48,1,2
Chlor,64,48,1,2
Chlor,64,96,1,2
Cont_Ace,12000,0,0,2
Cont_Ace,12000,0,0,2
Cont_Ace,12000,0,0,2
Cont_Ace,12000,0,0,2
Cont_Ace,12000,0,0,2
Cont_Ace,12000,0,0,2
Cont_Ace,12000,0,0,2
Cont_Ace,12000,0,0,2
Cont_Ace,12000,0,0,2
Cont_H20,0,0,0,2
Cont_H20,0,0,0,2
Cont_H20,0,0,0,2
Cont_H20,0,0,0,2
Cont_H20,0,0,0,2
Cont_H20,0,0,0,2
Cont_H20,0,0,0,2
Cont_H20,0,0,0,2
Cont_H20,0,0,0,2
Cont_H20,0,48,1,2
Esfen,0.02,0,0,2
Esfen,0.02,0,0,2
Esfen,0.02,0,0,2
Esfen,0.02,0,0,2
Esfen,0.02,0,0,2
Esfen,0.2,0,0,2
Esfen,0.2,0,0,2
Esfen,0.2,0,0,2
Esfen,0.2,0,0,2
Esfen,0.2,0,0,2
Esfen,1,3,1,2
Esfen,1,3,1,2
Esfen,1,3,1,2
Esfen,1,3,1,2
Esfen,1,3,1,2
Esfen,2,3,1,2
Esfen,2,3,1,2
Esfen,2,3,1,2
Esfen,2,3,1,2
Esfen,2,12,1,2
Esfen,20,3,1,2
Esfen,20,3,1,2
Esfen,20,3,1,2
Esfen,20,3,1,2
Esfen,20,3,1,2
Lamda,0.03,0,0,2
Lamda,0.03,0,0,2
Lamda,0.03,0,0,2
Lamda,0.03,0,0,2
Lamda,0.03,0,0,2
Lamda,0.13,0,0,2
Lamda,0.13,0,0,2
Lamda,0.13,0,0,2
Lamda,0.13,0,0,2
Lamda,0.13,0,0,2
Lamda,0.26,0,0,2
Lamda,0.26,0,0,2
Lamda,0.26,0,0,2
Lamda,0.26,0,0,2
Lamda,0.26,0,0,2
Lamda,1.3,0,0,2
Lamda,1.3,3,1,2
Lamda,1.3,3,1,2
Lamda,1.3,12,1,2
Lamda,1.3,12,1,2
Lamda,5,3,1,2
Lamda,5,3,1,2
Lamda,5,3,1,2
Lamda,5,3,1,2
Lamda,5,3,1,2
Mal,10.1,0,0,2
Mal,10.1,0,0,2
Mal,10.1,0,0,2
Mal,10.1,0,0,2
Mal,10.1,0,0,2
Mal,101,0,0,2
Mal,101,0,0,2
Mal,101,0,0,2
Mal,101,0,0,2
Mal,101,0,0,2
Mal,1010,0,0,2
Mal,1010,0,0,2
Mal,1010,0,0,2
Mal,1010,0,0,2
Mal,1010,0,0,2
Mal,10100,24,1,2
Mal,10100,24,1,2
Mal,10100,24,1,2
Mal,10100,48,1,2
Mal,10100,96,1,2
Mal,101000,3,1,2
Mal,101000,3,1,2
Mal,101000,3,1,2
Mal,101000,3,1,2
Mal,101000,3,1,2
Perm,0.04,0,0,2
Perm,0.04,0,0,2
Perm,0.04,0,0,2
Perm,0.04,0,0,2
Perm,0.04,0,0,2
Perm,0.21,0,0,2
Perm,0.21,0,0,2
Perm,0.21,0,0,2
Perm,0.21,0,0,2
Perm,0.21,0,0,2
Perm,0.41,0,0,2
Perm,0.41,0,0,2
Perm,0.41,0,0,2
Perm,0.41,0,0,2
Perm,0.41,0,0,2
Perm,2.07,0,0,2
Perm,2.07,0,0,2
Perm,2.07,24,1,2
Perm,2.07,48,1,2
Perm,2.07,96,1,2
Perm,4.41,0,0,2
Perm,4.41,0,0,2
Perm,4.41,0,0,2
Perm,4.41,0,0,2
Perm,4.41,24,1,2
Terb,0.09,0,0,2
Terb,0.09,0,0,2
Terb,0.09,0,0,2
Terb,0.09,0,0,2
Terb,0.09,0,0,2
Terb,0.86,0,0,2
Terb,0.86,0,0,2
Terb,0.86,0,0,2
Terb,0.86,0,0,2
Terb,0.86,0,0,2
Terb,8.55,0,0,2
Terb,8.55,0,0,2
Terb,8.55,0,0,2
Terb,8.55,0,0,2
Terb,8.55,96,1,2
Terb,17.1,0,0,2
Terb,17.1,0,0,2
Terb,17.1,0,0,2
Terb,17.1,0,0,2
Terb,17.1,0,0,2
Terb,171,0,0,2
Terb,171,24,1,2
Terb,171,96,1,2
Terb,171,120,1,2
Terb,171,240,1,2
,,,,
