"","beta","lamda1","lamda2","p"
"1",1.63450254625936e-05,3.66589721757628e-06,0.000245138465992994,0.000642344759388402
"2",5.06725127312968e-06,8.32993074958187e-06,0.00015961107727944,3.20795563719742e-07
"3",5.75380101850374e-06,8.32993074958187e-06,0.00015961107727944,9.14907298250896e-07
"4",6.44035076387781e-06,8.32993074958187e-06,0.00015961107727944,1.86279989526803e-06
"5",7.12690050925187e-06,8.32993074958187e-06,0.00015961107727944,3.05032326519211e-06
"6",7.81345025462594e-06,8.32993074958187e-06,0.00015961107727944,4.31853386366617e-06
"7",4.38070152775561e-06,3.66589721757628e-07,0.00022715969261951,9.38671582115273e-07
"8",5.06725127312968e-06,3.66589721757628e-07,0.00022715969261951,2.81083090629829e-06
"9",5.75380101850374e-06,3.66589721757628e-07,0.00022715969261951,5.96836204880852e-06
"10",6.44035076387781e-06,3.66589721757628e-07,0.00022715969261951,1.02278165057485e-05
"11",7.12690050925187e-06,3.66589721757628e-07,0.00022715969261951,1.52353046397562e-05
"12",7.81345025462594e-06,3.66589721757628e-07,0.00022715969261951,2.06319644183292e-05
"13",3.00760203700749e-06,8.32993074958187e-06,0.00022715969261951,1.59401410264718e-06
"14",3.69415178238155e-06,8.32993074958187e-06,0.00022715969261951,1.43465926970354e-05
"15",4.38070152775561e-06,8.32993074958187e-06,0.00022715969261951,4.15690285731937e-05
"16",5.06725127312968e-06,8.32993074958187e-06,0.00022715969261951,6.92594259189381e-05
"17",5.75380101850374e-06,8.32993074958187e-06,0.00022715969261951,8.66007527975667e-05
"18",6.44035076387781e-06,8.32993074958187e-06,0.00022715969261951,9.27694266339629e-05
"19",7.12690050925187e-06,8.32993074958187e-06,0.00022715969261951,9.12877175799001e-05
"20",7.81345025462594e-06,8.32993074958187e-06,0.00022715969261951,8.57413913296067e-05
"21",3.00760203700749e-06,1.62932717774061e-05,0.00022715969261951,5.96321066668333e-07
"22",3.69415178238155e-06,1.62932717774061e-05,0.00022715969261951,2.81190736981031e-07
"23",2.32105229163342e-06,3.66589721757628e-07,0.00029470830795958,3.94003812225498e-07
"24",3.00760203700749e-06,3.66589721757628e-07,0.00029470830795958,8.85572321876301e-06
"25",3.69415178238155e-06,3.66589721757628e-07,0.00029470830795958,3.61531750733681e-05
"26",4.38070152775561e-06,3.66589721757628e-07,0.00029470830795958,7.13230357291682e-05
"27",5.06725127312968e-06,3.66589721757628e-07,0.00029470830795958,9.99117373143742e-05
"28",5.75380101850374e-06,3.66589721757628e-07,0.00029470830795958,0.000117754033490703
"29",6.44035076387781e-06,3.66589721757628e-07,0.00029470830795958,0.000126645295230732
"30",7.12690050925187e-06,3.66589721757628e-07,0.00029470830795958,0.000129558190776807
"31",7.81345025462594e-06,3.66589721757628e-07,0.00029470830795958,0.000128902657721712
"32",2.32105229163342e-06,8.32993074958187e-06,0.00029470830795958,2.30878124091735e-05
"33",3.00760203700749e-06,8.32993074958187e-06,0.00029470830795958,0.000173403935136006
"34",3.69415178238155e-06,8.32993074958187e-06,0.00029470830795958,0.000247171673325176
"35",4.38070152775561e-06,8.32993074958187e-06,0.00029470830795958,0.000197043715254307
"36",5.06725127312968e-06,8.32993074958187e-06,0.00029470830795958,0.000128900235764225
"37",5.75380101850374e-06,8.32993074958187e-06,0.00029470830795958,8.01953084802304e-05
"38",6.44035076387781e-06,8.32993074958187e-06,0.00029470830795958,5.0303144629329e-05
"39",7.12690050925187e-06,8.32993074958187e-06,0.00029470830795958,3.2524514994256e-05
"40",7.81345025462594e-06,8.32993074958187e-06,0.00029470830795958,2.1825466884235e-05
"41",2.32105229163342e-06,1.62932717774061e-05,0.00029470830795958,4.01919746525959e-06
"42",3.00760203700749e-06,1.62932717774061e-05,0.00029470830795958,5.2719138365411e-07
"43",1.63450254625936e-06,3.66589721757628e-07,0.00036225692329965,4.9614108725282e-07
"44",2.32105229163342e-06,3.66589721757628e-07,0.00036225692329965,4.69499165932323e-05
"45",3.00760203700749e-06,3.66589721757628e-07,0.00036225692329965,0.000120878171034185
"46",3.69415178238155e-06,3.66589721757628e-07,0.00036225692329965,0.000112953591777146
"47",4.38070152775561e-06,3.66589721757628e-07,0.00036225692329965,7.87628352134194e-05
"48",5.06725127312968e-06,3.66589721757628e-07,0.00036225692329965,5.15305724367422e-05
"49",5.75380101850374e-06,3.66589721757628e-07,0.00036225692329965,3.41337940887306e-05
"50",6.44035076387781e-06,3.66589721757628e-07,0.00036225692329965,2.34398332883008e-05
"51",7.12690050925187e-06,3.66589721757628e-07,0.00036225692329965,1.67663979215517e-05
"52",7.81345025462594e-06,3.66589721757628e-07,0.00036225692329965,1.24673282943556e-05
"53",1.63450254625936e-06,8.32993074958187e-06,0.00036225692329965,2.20098745644372e-05
"54",2.32105229163342e-06,8.32993074958187e-06,0.00036225692329965,0.000367993871368421
"55",3.00760203700749e-06,8.32993074958187e-06,0.00036225692329965,0.0001824715971955
"56",3.69415178238155e-06,8.32993074958187e-06,0.00036225692329965,4.49640119197166e-05
"57",4.38070152775561e-06,8.32993074958187e-06,0.00036225692329965,1.08809086967942e-05
"58",5.06725127312968e-06,8.32993074958187e-06,0.00036225692329965,3.05107719765265e-06
"59",5.75380101850374e-06,8.32993074958187e-06,0.00036225692329965,1.01565716429367e-06
"60",6.44035076387781e-06,8.32993074958187e-06,0.00036225692329965,3.95531767871391e-07
"61",1.63450254625936e-06,1.62932717774061e-05,0.00036225692329965,1.54247245066795e-05
"62",2.32105229163342e-06,1.62932717774061e-05,0.00036225692329965,9.17379352559231e-07
"63",1.63450254625936e-06,3.66589721757628e-07,0.00042980553863972,4.74581555223617e-05
"64",2.32105229163342e-06,3.66589721757628e-07,0.00042980553863972,0.000101103201402752
"65",3.00760203700749e-06,3.66589721757628e-07,0.00042980553863972,2.53876102561493e-05
"66",3.69415178238155e-06,3.66589721757628e-07,0.00042980553863972,5.26377934900807e-06
"67",4.38070152775561e-06,3.66589721757628e-07,0.00042980553863972,1.30883537106521e-06
"68",5.06725127312968e-06,3.66589721757628e-07,0.00042980553863972,4.07838705549096e-07
"69",1.63450254625936e-06,8.32993074958187e-06,0.00042980553863972,0.00040809612130696
"70",2.32105229163342e-06,8.32993074958187e-06,0.00042980553863972,6.73295384137697e-05
"71",3.00760203700749e-06,8.32993074958187e-06,0.00042980553863972,2.28729239091895e-06
"72",1.63450254625936e-06,1.62932717774061e-05,0.00042980553863972,9.00135028377385e-06
"73",1.63450254625936e-06,3.66589721757628e-07,0.00049735415397979,0.000100885242350726
"74",2.32105229163342e-06,3.66589721757628e-07,0.00049735415397979,3.48058884639838e-06
"75",1.63450254625936e-06,8.32993074958187e-06,0.00049735415397979,0.00010429899315066
"76",1.63450254625936e-06,3.66589721757628e-07,0.00056490276931986,3.92390114946771e-06
"77",1.63450254625936e-06,8.32993074958187e-06,0.00056490276931986,3.62573723268436e-07
